alias_key,comparison_action,context_after,context_before,current_active_breaks,current_vs_expected_pass,expected_breaks,host_sentence_status,paragraph_id,projection_breaks,quoted,row_id,semantic_disposition,speaker,speech_end_map,syntactic_rationale,text_sha256,topology_breaks
c86c4cf9a31bc226,NO_CHANGE," Cette bénédiction remédiera aux offenses des créatures, et, douce et suave, descendra jusqu’à son Cœur."," te faisant ses adieux, Jésus veut entendre de ta Bouche ces douces Paroles : « ",110,True,110,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.01.P008,110,"Je Te bénis, ô Fils !",PASSION24.HOUR.01.P008#R00,KEEP_CURRENT_BREAK,MARY,110,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,3f18d0e3e814923150ef0c6b333674dcf0622d2e9a4f1a17731920366cd09826,110
3a9426d7238bfa7e,NO_CHANGE," Ô Jésus, mon doux Amour, bénis-moi aussi avec ta Mère. Bénis mes pensées, mon cœur, mes mains, mes pas, mes œuvres. Bénis toutes les créatures.","e tu présentes ces bénédictions à Jésus, j’entends ta Voix émue qui Lui dit : « ",119,True,119,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.01.P014,119,"Fils, bénis-moi aussi !",PASSION24.HOUR.01.P014#R00,KEEP_CURRENT_BREAK,MARY,119,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,dddd187cb1bbb47720662ef22592c3ed22b55894449cb4072f2ab4f20900aab1,119
88bcd8b0a7b45784,NO_CHANGE," À ces propos, les apôtres sont tout tristes et ne savent que répondre.",« ,203,True,203,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.02.P014,203,"Ma Vie est sur le point de s’éteindre ici-bas comme le soleil est sur le point de se coucher. Demain à pareille heure, Je n’y serai plus ! Mais en tant que Soleil, Je ressusciterai le troisième jour.",PASSION24.HOUR.02.P014#R00,KEEP_CURRENT_BREAK,JESUS,203,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,c77c93d672fac44f01e58c8da08cf5cece6b1e85f3eb1507ef9ffc1dae9717bc,203
a1638de2b09c9adb,NO_CHANGE," D’une Voix émue, Tu continues à les instruire. Avant de rentrer dans le Cénacle, Tu regardes le soleil qui se couche et qui, comme ta Vie, est sur le point de s’éteindre.",Tu ajoutes : « ,147,True,147,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.02.P015,147,"Courage, ne vous laissez pas abattre, Je serai toujours avec vous. Cependant, il est nécessaire que Je meure pour le bien de tous.",PASSION24.HOUR.02.P015#R00,KEEP_CURRENT_BREAK,JESUS,147,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,85b53f441a454dfa1d8de4a769df327d98d61d7517d961aabcda15f9f6869ad2,147
92cd39bba7446fab,NO_CHANGE," Le Père s’émeut à ces propos tendres et affectueux. Il descend du Ciel. Il est là sur la Table sacrée, avec le Saint-Esprit. Les deux sont avec Toi, ô Jésus. Et Toi, d’une Voix ma",,113,True,113,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.04.P034,113,"Nos Œuvres sont éternelles et mon Amour est incommensurable. Je ne puis, ni ne veux, laisser mes enfants seuls.",PASSION24.HOUR.04.P034#R00,KEEP_CURRENT_BREAK,JESUS,113,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,7f4652823c7fe05758d4c3deb42f62c3d90d00c74bebc6bea6b0d46e93ef7f2a,113
33bbb92ab2db7e2f,NO_CHANGE," Comme je Te plains, Jésus ! Ton Amour est mis au pilori ! Moi, pour Te dédommager, je Te prie d’enchaîner mon cœur avec ces chaînes brisées par les créatures, pour pouvoir Te donn",,93,True,93,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.04.P065,93,Cela M’attriste tant que ça Me donne une fièvre violente qui Me fait M’évanouir et délirer.,PASSION24.HOUR.04.P065#R00,KEEP_CURRENT_BREAK,JESUS,93,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,ec426871a5e90097a8b5ef3a08ff6858e27d6bba387c0a7df6da429cb4241709,93
d442d293ed0967da,NO_CHANGE," Mon Jésus, Tu m’appelles dans ton Cœur pour me faire voir ce que l’Amour Te fait souffrir. Alors j’y entre. Mais que vois-je ?",,483,True,483,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.05.P028,483,"Âme, c’est l’Amour qui prédomine en Moi. L’Amour est un clou pour Moi, l’Amour est un fouet pour Moi, l’Amour est une couronne d’épines pour Moi, l’Amour est tout pour Moi, l’Amour est ma Passion éternelle, alors que ce que Je souffre dans mon Humanité est temporaire. Mon enfant, entre dans mon Cœur et viens te perdre dans mon Amour. Seulement dans mon Amour tu comprendras combien Je souffre pour toi et combien Je t’aime. Ainsi tu apprendras à M’aimer et à souffrir par amour !",PASSION24.HOUR.05.P028#R00,KEEP_CURRENT_BREAK,JESUS,483,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,981251d0cd7e2d8d6c6fd7945c6ecdd31d84cea8892c13a043c837c603a76e03,483
6053f94c3300f364,NO_CHANGE," Pour nous conformer en toute chose à Jésus, nous devons rentrer en nous-mêmes et nous poser cette question : « En tout ce que je fais, est-ce qu’il y a un flux continu d’Amour qui",« ,142,True,142,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.05.REF.P005,142,"Je suis calciné par l’Amour et il n’y a personne qui veut mon Amour. De grâce, soulagez-Moi. Acceptez mon Amour et donnez-Moi de l’amour !",PASSION24.HOUR.05.REF.P005#R00,KEEP_CURRENT_BREAK,JESUS,142,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,87031b1fcaf655cf24f83c0c5e2e7dda8017dddb2a77aac4dee2bd8d74b9e5ab,142
5140bd62efffdd18,NO_CHANGE, C’est la première fois que j’entends ces mots de ta Bouche. Comme les Accents de ta Voix déchirent mon cœur ! Toutes les révoltes des créatures se présentent devant Toi. Ce « Fiat,« ,106,True,106,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.06.P012,106,"Père, si c’est possible, que s’écarte de Moi ce calice. Cependant, non pas ma Volonté, mais la Tienne.",PASSION24.HOUR.06.P012#R00,KEEP_CURRENT_BREAK,JESUS,106,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,8428f176c5d3b2f9f2531708b23f28183f7ed9069d849270670009befa4fb4ee,106
e49753ed49c7c432,NO_CHANGE," Jésus, Tu vacilles et Tu es sur le point de tomber. Alors Jean étend les bras pour Te soutenir. Tu es tellement méconnaissable. Si ce n’était pas de ta suave Voix, tes disciples n",« ,165,True,165,QUOTE_CLOSE_IS_HOST_SENTENCE_END,PASSION24.HOUR.07.P007,165,"Mes fils, ne dormez pas, l’heure est proche. Ne voyez-vous pas à quel état Je suis réduit ? De grâce, aidez-Moi, ne M’abandonnez pas en ces Heures si terribles !",PASSION24.HOUR.07.P007#R00,KEEP_CURRENT_BREAK,JESUS,165,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.,429ce91512000e8c238fb51352f1e306e63843a56a8f64e71edadb196b16f904,165
