alias_key,current_break_hidden_during_decision,expected_break_offset,host_sentence_status,lane,masked_host_text,paragraph_id,row_id,semantic_disposition,speaker,syntactic_rationale
c86c4cf9a31bc226,True,110,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"Mais en te faisant ses adieux, Jésus veut entendre de ta Bouche ces douces Paroles : « ⟦Q:MARY⟧ » Cette bénédiction remédiera aux offenses des créatures, et, douce et suave, descendra jusqu’à son Cœur.",PASSION24.HOUR.01.P008,PASSION24.HOUR.01.P008#R00,KEEP_CURRENT_BREAK,MARY,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
3a9426d7238bfa7e,True,119,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"Mais tandis que tu présentes ces bénédictions à Jésus, j’entends ta Voix émue qui Lui dit : « ⟦Q:MARY⟧ » Ô Jésus, mon doux Amour, bénis-moi aussi avec ta Mère. Bénis mes pensées, mon cœur, mes mains, mes pas, mes œuvres. Bénis toutes les créatures.",PASSION24.HOUR.01.P014,PASSION24.HOUR.01.P014#R00,KEEP_CURRENT_BREAK,MARY,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
88bcd8b0a7b45784,True,203,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"« ⟦Q:JESUS⟧ » À ces propos, les apôtres sont tout tristes et ne savent que répondre.",PASSION24.HOUR.02.P014,PASSION24.HOUR.02.P014#R00,KEEP_CURRENT_BREAK,JESUS,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
a1638de2b09c9adb,True,147,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"Tu ajoutes : « ⟦Q:JESUS⟧ » D’une Voix émue, Tu continues à les instruire. Avant de rentrer dans le Cénacle, Tu regardes le soleil qui se couche et qui, comme ta Vie, est sur le point de s’éteindre.",PASSION24.HOUR.02.P015,PASSION24.HOUR.02.P015#R00,KEEP_CURRENT_BREAK,JESUS,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
92cd39bba7446fab,True,113,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"⟦Q:JESUS⟧ » Le Père s’émeut à ces propos tendres et affectueux. Il descend du Ciel. Il est là sur la Table sacrée, avec le Saint-Esprit. Les deux sont avec Toi, ô Jésus. Et Toi, d’une Voix majestueuse et émouvante, Tu prononces les Paroles de la consécration.",PASSION24.HOUR.04.P034,PASSION24.HOUR.04.P034#R00,KEEP_CURRENT_BREAK,JESUS,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
33bbb92ab2db7e2f,True,93,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"⟦Q:JESUS⟧ » Comme je Te plains, Jésus ! Ton Amour est mis au pilori ! Moi, pour Te dédommager, je Te prie d’enchaîner mon cœur avec ces chaînes brisées par les créatures, pour pouvoir Te donner à leur place un retour d’amour.",PASSION24.HOUR.04.P065,PASSION24.HOUR.04.P065#R00,KEEP_CURRENT_BREAK,JESUS,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
d442d293ed0967da,True,483,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"⟦Q:JESUS⟧ » Mon Jésus, Tu m’appelles dans ton Cœur pour me faire voir ce que l’Amour Te fait souffrir. Alors j’y entre. Mais que vois-je ?",PASSION24.HOUR.05.P028,PASSION24.HOUR.05.P028#R00,KEEP_CURRENT_BREAK,JESUS,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
6053f94c3300f364,True,142,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"« ⟦Q:JESUS⟧ » Pour nous conformer en toute chose à Jésus, nous devons rentrer en nous-mêmes et nous poser cette question : « En tout ce que je fais, est-ce qu’il y a un flux continu d’Amour qui circule entre Dieu et moi ? »",PASSION24.HOUR.05.REF.P005,PASSION24.HOUR.05.REF.P005#R00,KEEP_CURRENT_BREAK,JESUS,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
5140bd62efffdd18,True,106,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"« ⟦Q:JESUS⟧ » C’est la première fois que j’entends ces mots de ta Bouche. Comme les Accents de ta Voix déchirent mon cœur ! Toutes les révoltes des créatures se présentent devant Toi. Ce « Fiat Voluntas Tua » qui devrait être le principe de Vie de toute créature, Tu le vois rejeté par presque toutes. En conséquence, au lieu de trouver la Vie, elles trouvent la mort.",PASSION24.HOUR.06.P012,PASSION24.HOUR.06.P012#R00,KEEP_CURRENT_BREAK,JESUS,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
e49753ed49c7c432,True,165,QUOTE_CLOSE_IS_HOST_SENTENCE_END,B_SEMANTIC_READING,"« ⟦Q:JESUS⟧ » Jésus, Tu vacilles et Tu es sur le point de tomber. Alors Jean étend les bras pour Te soutenir. Tu es tellement méconnaissable. Si ce n’était pas de ta suave Voix, tes disciples ne Te reconnaîtraient pas. Puis, leur recommandant de veiller et de prier, Tu retournes dans le Jardin.",PASSION24.HOUR.07.P007,PASSION24.HOUR.07.P007#R00,KEEP_CURRENT_BREAK,JESUS,La parole directe est syntaxiquement close à cette frontière ; le texte extérieur suivant ouvre une nouvelle phrase/unité indépendante.
