path,line,line_text,line_type,status,evidence_type,evidence_path,evidence_detail
reports/CONTINUITY_PRODUCT_CONTRACT.md,1,# Cross-record continuity product contract — v101.124,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,3,- Scope: presentation continuity only; canonical text and stable paragraph IDs remain unchanged.,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,4,- Approved continuity universe: exactly five leader→follower pairs recorded in `CONTINUITY_GROUPS`.,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,5,- Visual contract: each approved pair renders as one inline grammatical flow with exactly one ordinary space between record texts.,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,6,- Stable-ID contract: leader and follower remain separately addressable `.para-block` fragments with their original `id` and `data-para-id`.,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,7,- Annotation contract: notes/highlights/deep links retain record-level identity.,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,8,- Repères contract: one paragraph-number/speaker header is shown for the visual continuity unit; no mid-sentence follower paragraph number is inserted.,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,9,- Fail-closed contract: grouping occurs only when the approved follower is immediately adjacent in the rendered paragraph sequence.,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,10,- No automatic broad punctuation heuristic is used at runtime.,CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
reports/CONTINUITY_PRODUCT_CONTRACT.md,11,"Evidence: `evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json`, `evidence/v101124/CONTINUITY_MUTATION_TESTS.json`.",CLAIM_OR_STRUCTURE,PASS,RUNTIME_AND_MUTATION_EVIDENCE,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json,Five-pair inline rendering and stable-ID/annotation behaviour; mutation tests separately challenge contract.
