candidate_id,record_id,operation,pre_sha256,post_sha256,status
C0001,PASSION24.HOUR.01.P005,REPLACE_RECORD,f0fb81a3ffe216b2e539fa73b7ac51c11c9c4d41be707f65971afe8b9ad225a7,d1c7db8023eb10be903f269eb3502b331fabbfc34bccce6a05580815a6fbf45b,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0002,PASSION24.HOUR.01.P013,REPLACE_RECORD,531ff04d29edf0f7cff412fe20509dab7a64347d82acaf510aa72a52d4c35bab,85e033ef99483929223d5f810bb5d4d54286a835491f8d7800bd2bdcfcd8018b,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0003,PASSION24.HOUR.01.P021,REPLACE_RECORD,e96726c350591e5473b19d1a379f9e1eba4a2d4bc6d0b66ce8b090d68703b28b,913145b12b45bb0bfae4b07eb1c55641296db4dd0cd7d906495836bd1fa74d42,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0004,PASSION24.HOUR.01.P024,TRIM_RECORD,be98fa02c47b13e3bbe128e9c1a681546c59ce7ecb02127f4380e3082ef0760b,db3f35b81b66940a6f7ed776ae3b520b79c459682d8d4778fb8244f191fec83b,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0005,PASSION24.HOUR.01.P025,TRIM_RECORD,452a932352dac38c01909566e802d0d707b31f5347c8037931e4bed9ee86da6e,379c086c7da48092963556b2594108f692cbf5195325d57912ca3970c0e7d58e,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0006,PASSION24.HOUR.01.P026,TRIM_RECORD,f1ccfc2b38e75acb4bd555f6368d4b9eaa8d5c14ebf0d5918970f23c9d818cda,6a83845a2cb3c3c45d337c6f17b5d872f9e0109519a354e27128055773dede18,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0007,PASSION24.HOUR.01.P027,REPLACE_RECORD,d1c890e7ba0fdf94ef85e8e7b972c8a9d7402d18310176ae41cf685ec1f26199,c94005064df666aeb762839e5d9a69fbb1390fc0a232b2677fdd1441569379e7,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0009,PASSION24.HOUR.02.P010,REPLACE_RECORD,924851d329610347df545af847ce2adba564bec8adf33ead1f1581413072879a,562f526f40c729b41efe61327af13432d7f996b7ac32c5b054d0f5e62ff225e5,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0010,PASSION24.HOUR.02.P011,REPLACE_RECORD,200ed1d5e92999118b2b71c1ec6f9be4d65d5b562eb4b04a40b79b3ffeea1cb6,023b3a847762d4305ec798d95ecf04af2b2f312cd04e1a931be61f0238ddc3b9,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0011,PASSION24.HOUR.02.REF.P006,REPLACE_RECORD,5a67ce6e41426d2a1a33b3b10dd7c7da3d2ecdfdbd0b76a0375217cafa0d6b72,e07f2b813edf2d033ff2da883a6e48585a1f567fdd510977aad92e0032b1cf45,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0012,PASSION24.HOUR.03.P001,REPLACE_RECORD,c33273f103049c237453f9fa9eb686e0f96979996da01fdd339ce420e62cf01b,546ae9b8fe0fc9f7eb612797d7f95793914d902ba7a4adc2efc232cfaf725e77,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0013,PASSION24.HOUR.03.P013,REPLACE_RECORD,5f02a163c26cf73f121e72cff8af8bb812eb73fd0d212dfbfb624bc3b2ac7f20,7a681be4877f0e36eb61b83ef1771c980919da06ec336d37e6ca3266d1c6adf1,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0014,PASSION24.HOUR.03.REF.P003,REPLACE_RECORD,f9ab47252e1235128708959ee5611390469ce87468ef472e697aaeeb5c8af616,ca8cdcba6f5eabcf508d246aa05092b1d3eb716319c6faa59ba8e568aeebb3ec,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0015,PASSION24.HOUR.04.P072,TRIM_RECORD,02d3de275fda80e1fa2902dbc50fa868250b778db880e2d6f8768f98cdb79634,27cc0a7d94849daafccac56bb6e24f7cb3ff66cd865d92864da76382b2c91f95,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
C0016,PASSION24.HOUR.04.P080,TRIM_RECORD,8c5c57588b41ab20bed11b7a9264e1df274b4ddab934fac2dbcb089566ed7c3d,d5d8e4c3c1ae003c3aec898acf40356679aea36a1769675046c6dbf94a088d51,APPLIED_EXACT_AUTHORIZED_TEXT_OPERATION
